date,SP500
08/06/2020,3232.39
05/06/2020,3193.93
04/06/2020,3112.35
03/06/2020,3122.87
02/06/2020,3080.82
01/06/2020,3055.73
29/05/2020,3044.31
28/05/2020,3029.73
27/05/2020,3036.13
26/05/2020,2991.77
22/05/2020,2955.45
21/05/2020,2948.51
20/05/2020,2971.61
19/05/2020,2922.94
18/05/2020,2953.91
15/05/2020,2863.7
14/05/2020,2852.5
13/05/2020,2820.0
12/05/2020,2870.12
11/05/2020,2930.19
08/05/2020,2929.8
07/05/2020,2881.19
06/05/2020,2848.42
05/05/2020,2868.44
04/05/2020,2842.74
01/05/2020,2830.71
30/04/2020,2912.43
29/04/2020,2939.51
28/04/2020,2863.39
27/04/2020,2878.48
24/04/2020,2836.74
23/04/2020,2797.8
22/04/2020,2799.31
21/04/2020,2736.56
20/04/2020,2823.16
17/04/2020,2874.56
16/04/2020,2799.55
15/04/2020,2783.36
14/04/2020,2846.06
13/04/2020,2761.63
09/04/2020,2789.82
08/04/2020,2749.98
07/04/2020,2659.41
06/04/2020,2663.68
03/04/2020,2488.65
02/04/2020,2526.9
01/04/2020,2470.5
31/03/2020,2584.59
30/03/2020,2626.65
27/03/2020,2541.47
26/03/2020,2630.07
25/03/2020,2475.56
24/03/2020,2447.33
23/03/2020,2237.4
20/03/2020,2304.92
19/03/2020,2409.39
18/03/2020,2398.1
17/03/2020,2529.19
16/03/2020,2386.13
13/03/2020,2711.02
12/03/2020,2480.64
11/03/2020,2741.38
10/03/2020,2882.23
09/03/2020,2746.56
06/03/2020,2972.37
05/03/2020,3023.94
04/03/2020,3130.12
03/03/2020,3003.37
02/03/2020,3090.23
28/02/2020,2954.22
27/02/2020,2978.76
26/02/2020,3116.39
25/02/2020,3128.21
24/02/2020,3225.89
21/02/2020,3337.75
20/02/2020,3373.23
19/02/2020,3386.15
18/02/2020,3370.29
14/02/2020,3380.16
13/02/2020,3373.94
12/02/2020,3379.45
11/02/2020,3357.75
10/02/2020,3352.09
07/02/2020,3327.71
06/02/2020,3345.78
05/02/2020,3334.69
04/02/2020,3297.59
03/02/2020,3248.92
31/01/2020,3225.52
30/01/2020,3283.66
29/01/2020,3273.4
28/01/2020,3276.24
27/01/2020,3243.63
24/01/2020,3295.47
23/01/2020,3325.54
22/01/2020,3321.75
21/01/2020,3320.79
17/01/2020,3329.62
16/01/2020,3316.81
15/01/2020,3289.29
14/01/2020,3283.15
13/01/2020,3288.13
10/01/2020,3265.35
09/01/2020,3274.7
08/01/2020,3253.05
07/01/2020,3237.18
06/01/2020,3246.28
03/01/2020,3234.85
02/01/2020,3257.85
31/12/2019,3230.78
30/12/2019,3221.29
27/12/2019,3240.02
26/12/2019,3239.91
24/12/2019,3223.38
23/12/2019,3224.01
20/12/2019,3221.22
19/12/2019,3205.37
18/12/2019,3191.14
17/12/2019,3192.52
16/12/2019,3191.45
13/12/2019,3168.8
12/12/2019,3168.57
11/12/2019,3141.63
10/12/2019,3132.52
09/12/2019,3135.96
06/12/2019,3145.91
05/12/2019,3117.43
04/12/2019,3112.76
03/12/2019,3093.2
02/12/2019,3113.87
29/11/2019,3140.98
27/11/2019,3153.63
26/11/2019,3140.52
25/11/2019,3133.64
22/11/2019,3110.29
21/11/2019,3103.54
20/11/2019,3108.46
19/11/2019,3120.18
18/11/2019,3122.03
15/11/2019,3120.46
14/11/2019,3096.63
13/11/2019,3094.04
12/11/2019,3091.84
11/11/2019,3087.01
08/11/2019,3093.08
07/11/2019,3085.18
06/11/2019,3076.78
05/11/2019,3074.62
04/11/2019,3078.27
01/11/2019,3066.91
31/10/2019,3037.56
30/10/2019,3046.77
29/10/2019,3036.89
28/10/2019,3039.42
25/10/2019,3022.55
24/10/2019,3010.29
23/10/2019,3004.52
22/10/2019,2995.99
21/10/2019,3006.72
18/10/2019,2986.2
17/10/2019,2997.95
16/10/2019,2989.69
15/10/2019,2995.68
14/10/2019,2966.15
11/10/2019,2970.27
10/10/2019,2938.13
09/10/2019,2919.4
08/10/2019,2893.06
07/10/2019,2938.79
04/10/2019,2952.01
03/10/2019,2910.63
02/10/2019,2887.61
01/10/2019,2940.25
30/09/2019,2976.74
27/09/2019,2961.79
26/09/2019,2977.62
25/09/2019,2984.87
24/09/2019,2966.6
23/09/2019,2991.78
20/09/2019,2992.07
19/09/2019,3006.79
18/09/2019,3006.73
17/09/2019,3005.7
16/09/2019,2997.96
13/09/2019,3007.39
12/09/2019,3009.57
11/09/2019,3000.93
10/09/2019,2979.39
09/09/2019,2978.43
06/09/2019,2978.71
05/09/2019,2976.0
04/09/2019,2937.78
03/09/2019,2906.27
30/08/2019,2926.46
29/08/2019,2924.58
28/08/2019,2887.94
27/08/2019,2869.16
26/08/2019,2878.38
23/08/2019,2847.11
22/08/2019,2922.95
21/08/2019,2924.43
20/08/2019,2900.51
19/08/2019,2923.65
16/08/2019,2888.68
15/08/2019,2847.6
14/08/2019,2840.6
13/08/2019,2926.32
12/08/2019,2882.7
09/08/2019,2918.65
08/08/2019,2938.09
07/08/2019,2883.98
06/08/2019,2881.77
05/08/2019,2844.74
02/08/2019,2932.05
01/08/2019,2953.56
31/07/2019,2980.38
30/07/2019,3013.18
29/07/2019,3020.97
26/07/2019,3025.86
25/07/2019,3003.67
24/07/2019,3019.56
23/07/2019,3005.47
22/07/2019,2985.03
19/07/2019,2976.61
18/07/2019,2995.11
17/07/2019,2984.42
16/07/2019,3004.04
15/07/2019,3014.3
12/07/2019,3013.77
11/07/2019,2999.91
10/07/2019,2993.07
09/07/2019,2979.63
08/07/2019,2975.95
05/07/2019,2990.41
03/07/2019,2995.82
02/07/2019,2973.01
01/07/2019,2964.33
28/06/2019,2941.76
27/06/2019,2924.92
26/06/2019,2913.78
25/06/2019,2917.38
24/06/2019,2945.35
21/06/2019,2950.46
20/06/2019,2954.18
19/06/2019,2926.46
18/06/2019,2917.75
17/06/2019,2889.67
14/06/2019,2886.98
13/06/2019,2891.64
12/06/2019,2879.84
11/06/2019,2885.72
10/06/2019,2886.73
07/06/2019,2873.34
06/06/2019,2843.49
05/06/2019,2826.15
04/06/2019,2803.27
03/06/2019,2744.45
31/05/2019,2752.06
30/05/2019,2788.86
29/05/2019,2783.02
28/05/2019,2802.39
24/05/2019,2826.06
23/05/2019,2822.24
22/05/2019,2856.27
21/05/2019,2864.36
20/05/2019,2840.23
17/05/2019,2859.53
16/05/2019,2876.32
15/05/2019,2850.96
14/05/2019,2834.41
13/05/2019,2811.87
10/05/2019,2881.4
09/05/2019,2870.72
08/05/2019,2879.42
07/05/2019,2884.05
06/05/2019,2932.47
03/05/2019,2945.64
02/05/2019,2917.52
01/05/2019,2923.73
30/04/2019,2945.83
29/04/2019,2943.03
26/04/2019,2939.88
25/04/2019,2926.17
24/04/2019,2927.25
23/04/2019,2933.68
22/04/2019,2907.97
18/04/2019,2905.03
17/04/2019,2900.45
16/04/2019,2907.06
15/04/2019,2905.58
12/04/2019,2907.41
